id,name
55,Spinocerebellar Ataxia Type 7
56,Spinocerebellar Ataxia Type 1
57,Spinocerebellar Ataxia Type 4
58,Spinocerebellar Ataxia Type 2
59,"Amyotrophic Lateral Sclerosis, Guam Form"
60,Unverricht-Lundborg Syndrome
61,"Ceroid Lipofuscinosis, Neuronal, Parry Type"
62,"Ataxias, Hereditary"
63,Akinetic-Rigid Variant of Huntington Disease
64,Juvenile Huntington Disease
65,Becker Generalized Myotonia
66,Infantile neuronal ceroid lipofuscinosis
67,Juvenile Neuronal Ceroid Lipofuscinosis
68,"Cockayne Syndrome, Type III"
69,"Cockayne Syndrome, Type II"
70,"Cockayne Syndrome, Type I"
71,Late-Infantile Neuronal Ceroid Lipfuscinosis
72,"Huntington Disease, Late Onset"
73,Myotonia Congenita
74,Cockayne Syndrome
75,Adult Neuronal Ceroid Lipofuscinosis
76,Huntington Disease
77,Generalized Myotonia of Thomsen
78,Neuronal Ceroid-Lipofuscinoses
79,Myotonia Levior
80,"Lissencephaly, X-Linked, 1"
81,Classical Lissencephaly
82,Dystrophia myotonica 2
83,Myotonic Dystrophy
84,Congenital Myotonic Dystrophy
85,X-Linked Lissencephaly
86,Subcortical Band Heterotopia
87,Classical Lissencephalies and Subcortical Band Heterotopias
88,"Muscular Atrophy, Spinal, Type II"
89,"Sensory Neuropathy, Hereditary"
90,Pyruvate Dehydrogenase Complex Deficiency Disease
91,"Muscular atrophy, spinal, infantile chronic form"
92,"Hereditary Sensory Autonomic Neuropathy, Type 5"
93,HSAN Type IV
94,"Hereditary Sensory Autonomic Neuropathy, Type 2"
95,"Hereditary Sensory Autonomic Neuropathy, Type 1"
96,Spinal Muscular Atrophies of Childhood
97,Hereditary Sensory Radicular Neuropathy
98,HMN (Hereditary Motor Neuropathy) Proximal Type I
99,Juvenile Spinal Muscular Atrophy
100,Rett Syndrome
101,Dejerine-Sottas Disease (disorder)
102,"Hereditary, Type VII, Motor and Sensory Neuropathy"
103,Infantile Globoid Cell Leukodystrophy
104,Late-Onset Globoid Cell Leukodystrophy
105,Globoid cell leukodystrophy
106,Friedreich Ataxia
107,Alexander Disease
108,"Familial Amyloid Polyneuropathy, Type IV"
109,Frontotemporal Lobar Degeneration
110,Semantic Dementia
111,Frontotemporal dementia
112,Primary Progressive Nonfluent Aphasia
113,Lesch-Nyhan Syndrome
114,Charcot-Marie-Tooth Disease
115,Hereditary Motor and Sensory Neuropathy Type I
116,Roussy-Levy Syndrome (disorder)
117,Sulfoiduronate Sulfatase Deficiency
118,Mucopolysaccharidosis II
119,"Charcot-Marie-Tooth Disease, Type Ia (disorder)"
120,"Charcot-Marie-Tooth Disease, Type Ib"
121,Fibrous skin tumor of tuberous sclerosis
122,Tuberous Sclerosis
123,"Optic Atrophy, Hereditary, Leber"
124,Glycogen Storage Disease Type IIb
125,"Supranuclear Palsy, Progressive, 1"
126,"Ophthalmoplegia, Progressive Supranuclear"
127,Pelizaeus-Merzbacher Disease
128,Pick Disease of the Brain
129,Progressive supranuclear palsy
130,Adult Pelizaeus-Merzbacher Disease
131,"Pelizaeus-Merzbacher Disease, Atypical"
132,Classic Pelizaeus-Merzbacher Disease
133,"Pelizaeus-Merzbacher Disease, Transitional"
134,Cockayne-Pelizaeus-Merzbacher Disease
135,Machado-Joseph Disease
136,Machado-Joseph Disease Type III
137,Machado-Joseph Disease Type IV
138,Machado-Joseph Disease Type I
139,Machado-Joseph Disease Type II
140,Cafe-au-lait macules with pulmonary stenosis
141,"Schwannoma, Acoustic, Bilateral"
142,"Neuroma, Acoustic, Bilateral"
143,Familial Acoustic Neuroma
144,Neurofibromatosis 3
145,Neurofibromatosis 2
146,Neurofibromatosis 1
147,Optic Atrophy 1
148,Juvenile Pyruvate Dehydrogenase Complex Deficiency Disease
149,"Pyruvate Dehydrogenase Complex Deficiency Disease, Neonatal"
150,"Ataxia with Lactic Acidosis, Type I"
151,Refsum Disease
152,"Refsum Disease, Phytanoyl-CoA Hydroxylase Deficiency"
153,Kinsbourne Syndrome
154,Paraneoplastic Opsoclonus-Myoclonus Ataxia
155,Opsoclonus-Myoclonus Syndrome
156,Lambert-Eaton Myasthenic Syndrome
157,Gerstmann-Straussler-Scheinker Disease
158,Scrapie
159,Kuru
160,Fatal Familial Insomnia
161,"Human Transmissible Spongiform Encephalopathies, Inherited"
162,Coffin-Lowry syndrome
163,Progressive Proximal Myelopathic Muscular Atrophy
164,Scapuloperoneal Form of Spinal Muscular Atrophy
165,Distal Spinal Muscular Atrophy
166,Oculopharyngeal Spinal Muscular Atrophy
167,"Motor Neuron Disease, Secondary"
168,Progressive Muscular Atrophy
169,Spinal Muscular Atrophy
170,Hereditary Motor Neuronopathy
171,"Motor Neuron Disease, Lower"
172,Myelopathic Muscular Atrophy
173,Familial Motor Neuron Disease
174,Motor Neuron Disease
175,Anterior Horn Cell Disease
176,Lateral Sclerosis
177,"Motor Neuron Disease, Upper"
178,"Amyloid Polyneuropathy, British Type (disorder)"
179,"Familial Amyloid Polyneuropathy, Appalachian Type"
180,"Familial Amyloid Polyneuropathy, Type V"
181,"Familial Amyloid Neuropathy, Portuguese Type"
182,"Familial amyloid polyneuropathy, type VI"
183,"Amyloid Polyneuropathy, Swiss Type"
184,"Familial Amyloid Polyneuropathy, Jewish Type"
185,"Amyloid Polyneuropathy, Iowa Type"
186,Chorea Acanthocytosis Syndrome
187,Wolfram Syndrome 1
188,Wolfram Syndrome
189,GIANT AXONAL NEUROPATHY 1
190,Alstrom Syndrome
191,Lafora Disease
192,"Lafora Body Disease, Late Onset"
193,"Dysautonomia, Familial"
194,Hereditary Autosomal Dominant Spastic Paraplegia
195,Autosomal Recessive Hereditary Spastic Paraplegia
196,Hereditary X-Linked Recessive Spastic Paraplegia
197,"X-Linked, Spastic Paraplegia, Hereditary"
198,HMSN Type V
199,Striatonigral Degeneration
200,Marinesco-Sjogren syndrome
201,"Cerebellar Degenerations, Primary"
202,"Cerebellar Ataxia, Late Onset"
203,"Cerebellar Ataxia, Early Onset"
204,Corticostriatal-Spinal Degeneration
205,Marie Cerebellar Ataxia
206,Hallervorden-Spatz Syndrome
207,Progressive bulbar palsy
208,Childhood Progressive Bulbar Palsy
209,Fazio-Londe Syndrome
210,Bulbar palsy
211,Tauopathies
212,Spinocerebellar Degeneration
213,Global brain atrophy
214,Atrophy of corpus callosum
215,Parietal cortical atrophy
216,Subcortical cerebral atrophy
217,Increased cerebral lipofuscin
218,Anti-N-Methyl-D-Aspartate Receptor Encephalitis
219,Degeneration of anterior horn cells
220,Increased neuronal autofluorescent lipopigment
221,TDP-43 Proteinopathies
222,Cerebral cortical hemiatrophy
223,Atrophy/Degeneration involving the spinal cord
224,Granulovacuolar degeneration
225,Hippocampal atrophy
226,Neuronal loss in central nervous system
227,Corticospinal tract atrophy
228,"Optic Atrophies, Hereditary"
229,Myoclonic Cerebellar Dyssynergia
230,Cervical spinal cord atrophy
231,Diffuse cerebral atrophy
232,Degenerative brain disorder
233,Caudate atrophy
234,Chronic Traumatic Encephalopathy
235,Prion Diseases
236,"Myelitis, Postinfectious"
237,Familial Olivopontocerebellar Atrophy
238,Neuro-degenerative disease
239,Paraneoplastic Cerebellar Degeneration
240,Multiple System Atrophy
241,Pallidal degeneration
242,Subacute Combined Degeneration
243,Neurodegenerative Disorders
244,Atrophy of the spinal cord
245,Nerve Degeneration
246,Atrophy/Degeneration involving the corticospinal tracts
247,Atrophy/Degeneration affecting the cerebrum
248,Atrophy/Degeneration involving the caudate nucleus
249,Motor neuron atrophy
250,Limbic Encephalitis
251,Temporal cortical atrophy
252,Generalized cerebral atrophy/hypoplasia
253,Olivopontocerebellar Atrophies
254,Atrophy/Degeneration affecting the brainstem
255,Frontal cortical atrophy
256,Degeneration of the striatum
257,Cerebral cortical neurodegeneration
258,Degeneration of the lateral corticospinal tracts
259,"Heredodegenerative Disorders, Nervous System"
260,Cotton wool plaques
261,Increased extraneuronal autofluorescent lipopigment
262,Brain atrophy
263,Cerebral cortical atrophy
264,Central nervous system degeneration
265,"Myelitis, Acute Transverse"
266,Paraneoplastic Encephalomyelitis
267,"Paraneoplastic Cerebellar Degeneration, Anti-Yo-Associated"
268,"Amyloid Neuropathies, Familial"
269,Frontotemporal cerebral atrophy
270,"Wasting Disease, Chronic"
271,Hereditary Sensory and Autonomic Neuropathies
272,Hereditary Motor and Sensory Neuropathies
273,Paraneoplastic Polyneuropathy
